Player: ; Player9; Question: ;Escolheu avatar; Answer: ;1; isCorrect: ;False; isComplete: ;False
Player: ; Player9; Question: ;Escolheu avatar; Answer: ;1; isCorrect: ;False; isComplete: ;False
Player: ; Player9; Question: ;Solicitou Dica / Objeto; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Solicitou Dica / Objeto; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Solicitou Dica / Objeto; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Solicitou Dica / Objeto; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Solicitou Dica / Objeto; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Solicitou Dica / Objeto; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Solicitou Dica / Objeto; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;4; isCorrect: ;False; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;4; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Solicitou Dica / Objeto; Answer: ;Sequencia1; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;3; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;1; isCorrect: ;False; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;2; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;4; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Bola; Answer: ;3; isCorrect: ;True; isComplete: ;False
Player: ; Player9; Question: ;Colocou Bola; Answer: ;1; isCorrect: ;True; isComplete: ;True
